t,Site,IMSI,TAC,SNR,SVN,GTPUPDLIP,GTPUPULIP,MCC,MNC,LAC,ULI,SAC,TicketType,APN,PATH,LocDomain,Volume,ActiveSecondsDlSum,ActiveSecondsUlSum,BYTESDownlinkSum,BYTESUplinkSum,BYTESRETRASMDownlinkSum,BYTESRETRASMUplinkSum,CXTBytesDLSum,CXTBytesULSum,CXTDurationSum,IfCXTDurationSum,TCPMSLatencyMsecSum,IfTCPMSLatencyMsecSum,TCPNWLatencyMsecSum,IfTCPNWLatencyMsecSum
1433528099,C_gngyserver_NET0,228035760087338,35590006,571491,5,213.55.204.72,213.55.204.145,228,3,6001,-1,31518,3219,unspec,Unknown,0,1,0,0,0,0,0,0,16814,14563,10318,1,0,0,0,0
1433528099,C_gngyserver_NET0,228033700078948,35374806,201568,1,10.42.66.180,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,Unknown,1,1,0,0,0,0,0,0,37355,21908,373,1,0,0,0,0
1433528099,C_gngyserver_NET0,228035740012624,35322206,259514,1,10.42.72.8,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,https,1,3,9,7,10199,10568,0,0,0,0,0,0,31,1,71,1
1433528099,C_gngyserver_NET0,228034740043373,1320200,359918,18,10.8.3.5,213.55.204.144,228,3,8006,-1,37804,3219,unspec,dns,0,1,4,3,1256,1693,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035790032652,1353400,25023,13,213.55.204.68,213.55.204.142,228,3,6006,-1,12431,3219,unspec,facebook_dns,0,1,1,0,548,0,548,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035730080540,1340700,880774,12,10.67.4.137,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,1,1,126,210,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031760028865,35414905,750998,48,10.8.3.6,213.55.204.146,228,3,6001,-1,31090,3219,unspec,imap,0,1,4,4,87913,6211,0,0,0,0,0,0,49,1,39,1
1433528099,C_gngyserver_NET0,228035810099664,35854505,767439,8,10.77.7.134,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,dns,1,1,1,1,904,443,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032750027266,35488606,925072,1,10.67.2.129,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,https,1,3,9,9,22221,20973,0,0,0,0,0,0,72,2,81,2
1433528099,C_gngyserver_NET0,228035810073587,35868605,83812,8,213.55.204.68,213.55.204.144,228,3,6003,-1,13432,3219,unspec,dns,0,1,4,4,9658,1781,0,0,0,0,0,0,629,1,0,0
1433528099,C_gngyserver_NET0,228032800846798,35204606,512026,10,10.67.25.5,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,https,1,1,1,1,40,76,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228034710097050,35954405,785069,1,10.77.0.150,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,Unknown,1,1,0,0,0,0,0,0,80,0,346,1,0,0,0,0
1433528099,C_gngyserver_NET0,228032800201953,35699706,480288,5,10.77.7.145,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,dns,1,1,3,3,1640,872,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031820044157,35716004,508911,1,213.55.204.69,213.55.204.146,228,3,8004,-1,15121,3219,unspec,android_market,0,1,1,2,81,135,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031300085184,86275202,289914,0,10.8.3.132,213.55.204.146,228,3,6003,-1,33724,3219,unspec,https,0,3,9,9,8861,4977,0,0,0,0,0,0,497,1,101,1
1433528099,C_gngyserver_NET0,228032800430191,1362800,241547,10,10.8.3.134,213.55.204.146,228,3,6006,-1,35132,3219,unspec,dns,0,1,2,2,341,277,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800213578,35517906,826697,40,10.67.9.105,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,2,18,21,47529,39617,0,539,0,0,0,0,30,2,93,2
1433528099,C_gngyserver_NET0,228034740039459,35239406,873489,38,213.55.204.75,213.55.204.146,228,3,8006,-1,37907,3219,unspec,Unknown,0,1,0,0,0,0,0,0,62173,2248,32,1,0,0,0,0
1433528099,C_gngyserver_NET0,228035700082051,35374806,293084,1,109.24.54.155,213.55.204.143,208,10,48500,-1,38227,3219,unspec,stun,0,4,184,184,614314,589367,3329,105,0,0,0,0,104,1,37,1
1433528099,C_gngyserver_NET0,228035760069432,35206906,472507,3,10.77.7.149,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,2,11,17,29283,19725,0,0,0,0,0,0,36,2,120,2
1433528099,C_gngyserver_NET0,228032800429031,35342106,53791,1,10.42.74.205,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,tcp,1,1,1,1,308,439,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035790066300,35274506,47476,1,10.67.28.95,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,5,25,25,10595,13791,0,99,2078487,290366,729,1,42,2,52,2
1433528099,C_gngyserver_NET0,228032800273394,35449706,565951,1,10.77.3.144,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,https,1,1,2,0,120,0,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800341730,35712706,387518,10,213.55.204.70,213.55.204.145,228,3,8004,-1,19183,3219,unspec,https,0,3,3,4,567,591,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800246181,35499405,377679,9,213.55.204.72,213.55.204.141,228,3,6003,-1,52279,3219,unspec,https,0,15,17,423,2747,37028,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035700075904,1319400,503403,13,10.8.3.6,213.55.204.141,228,3,6006,-1,34751,3219,unspec,apple_push,0,1,4,4,11584,3712,0,0,0,0,0,0,65,1,60,1
1433528099,C_gngyserver_NET0,228035850062222,35517906,301876,40,10.67.4.251,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,2,3,4,1004,2220,0,0,0,0,0,0,29,1,18,1
1433528099,C_gngyserver_NET0,228034180012039,35609906,713527,1,10.8.3.4,213.55.204.143,228,3,6003,-1,37112,3219,unspec,https,0,7,135,134,1540237,650145,11557,7918,0,0,0,0,233,5,122,5
1433528099,C_gngyserver_NET0,228035840083100,35500305,914190,8,10.8.3.4,213.55.204.141,228,3,6003,-1,32636,3219,unspec,Unknown,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1433528099,C_gngyserver_NET0,228032800096258,35827105,124570,1,10.8.3.134,213.55.204.142,228,3,6001,-1,51552,3219,unspec,dns,0,2,5,10,816,980,0,0,0,0,0,0,1067,1,124,1
1433528099,C_gngyserver_NET0,228032800192133,35880205,536544,10,10.8.3.5,213.55.204.141,228,3,8004,-1,59371,3219,unspec,dns,0,2,5,5,1822,1110,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032780015991,1320700,170035,17,10.8.3.133,213.55.204.146,228,3,8004,-1,36002,3219,unspec,video-streaming,0,1,40,37,5856754,291076,17208,0,0,0,0,0,1274,1,12,1
1433528099,C_gngyserver_NET0,228036810021311,35342106,66616,1,10.77.3.134,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,http,1,2,63,64,1480909,340784,0,0,0,0,0,0,46,2,23,2
1433528099,C_gngyserver_NET0,228031780058960,35698306,749610,3,10.42.64.31,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,dns,1,4,12,12,11232,7715,0,0,0,0,0,0,13,1,28,1
1433528099,C_gngyserver_NET0,228032800199868,35698206,615569,5,10.42.64.31,10.8.31.143,-1,-1,-1,-1,-1,3219,unspec,dns,1,1,1,1,690,320,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035860015620,35676506,273675,1,10.8.3.134,213.55.204.141,228,3,6001,-1,51712,3219,unspec,apple_push,0,1,3,3,9228,4485,0,0,0,0,0,0,378,1,113,1
1433528099,C_gngyserver_NET0,228031790026272,1353400,409482,13,10.9.5.196,213.55.204.142,228,3,7007,-1,1684,3219,unspec,https,0,1,8,10,6511,2406,0,0,0,0,0,0,94,1,180,1
1433528099,C_gngyserver_NET0,228032800442548,35952306,247887,1,10.77.7.32,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,xmpp_client,1,4,42,40,6940,7072,0,0,0,0,0,0,15,1,114,1
1433528099,C_gngyserver_NET0,228032800483255,35993706,188034,1,10.67.1.132,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,http,1,1,3,3,2893,1361,0,0,0,0,0,0,35,1,0,0
1433528099,C_gngyserver_NET0,228036810031357,1303400,100208,7,10.8.3.134,213.55.204.146,228,3,6001,-1,31061,3219,unspec,apple_push,0,1,6,6,4629,2644,0,0,0,0,0,0,41,1,251,1
1433528099,C_gngyserver_NET0,228035750081808,35746006,537297,1,10.77.7.171,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,https,1,5,95,53,546560,580413,1478,0,0,0,0,0,32,2,57,2
1433528099,C_gngyserver_NET0,228035840094849,35836506,664512,5,10.67.20.117,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,video-streaming,1,1,26,28,14206368,235723,7170,0,0,0,0,0,21,1,6,1
1433528099,C_gngyserver_NET0,228035730077745,35799805,982384,10,10.8.3.133,213.55.204.141,228,3,8006,-1,39707,3219,unspec,skype_https,0,1,15,18,2029695,76418,0,726,0,0,0,0,51,1,80,1
1433528099,C_gngyserver_NET0,228035780073255,99000307,70577,12,10.8.3.5,213.55.204.144,228,3,8004,-1,39662,3219,unspec,http,0,6,148,124,934181,576412,8619,15374,0,0,0,0,833,6,74,6
1433528099,C_gngyserver_NET0,228031700080850,35671705,266123,50,10.8.3.6,213.55.204.144,228,3,6001,-1,31712,3219,unspec,https,0,4,5,7,945,840,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228033760017007,1303700,587975,16,10.8.3.5,213.55.204.146,228,3,8004,-1,36641,3219,unspec,https,0,1,5,12,8058,5809,0,0,0,0,0,0,532,1,40,1
1433528099,C_gngyserver_NET0,228035370042710,35687104,461309,1,213.55.204.69,213.55.204.142,228,3,6003,-1,17052,3219,unspec,android_market,0,1,2,1,1278,52,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800197710,35198506,882707,9,10.8.3.133,213.55.204.145,228,3,8004,-1,58151,3219,unspec,apple_push,0,1,1,2,178,226,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228036750068577,35577506,7121,9,10.156.164.3,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,skype_https,1,1,1,2,6178,8070,0,0,0,0,0,0,26,1,26,1
1433528099,C_gngyserver_NET0,228032800243037,35488606,480647,1,213.55.204.73,213.55.204.141,228,3,6001,-1,31356,3219,unspec,tcp,0,1,1,5,77,253,0,0,77,253,29,1,0,0,0,0
1433528099,C_gngyserver_NET0,228032800190247,35695706,1153,3,10.67.64.125,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,1,1,126,226,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228034700093557,35713806,578121,10,213.55.204.72,213.55.204.141,228,3,8004,-1,56452,3219,unspec,Unknown,0,1,0,0,0,0,0,0,12380,39237,14875,1,0,0,0,0
1433528099,C_gngyserver_NET0,228035850057343,35787105,544407,1,10.200.99.42,213.55.204.142,228,3,22300,-1,46928,3219,unspec,facebook_dns,0,1,3,5,8098,4678,0,0,0,0,0,0,451,1,31,1
1433528099,C_gngyserver_NET0,228031890006436,35694605,315753,1,10.67.10.146,10.8.31.142,-1,-1,-1,-1,-1,3219,unspec,https,1,1,7,7,1984,2358,0,0,0,0,0,0,16,1,118,1
1433528099,C_gngyserver_NET0,228035780056255,35437905,225720,1,213.55.204.75,213.55.204.144,228,3,8004,-1,59357,3219,unspec,xmpp_client,0,2,6,5,1893,443,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032800016993,35294506,187858,10,10.67.11.183,10.8.31.164,-1,-1,-1,-1,-1,3219,unspec,http,1,4,147,150,1997826,773633,1420,363,0,0,0,0,72,4,20,3
1433528099,C_gngyserver_NET0,228032800426051,35922706,172786,5,10.67.29.195,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,1,4,3,4704,3611,0,0,0,0,0,0,37,1,247,1
1433528099,C_gngyserver_NET0,228031760102983,35694605,355232,1,10.42.75.81,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,2,16,17,20490,23964,0,0,0,0,0,0,80,2,114,2
1433528099,C_gngyserver_NET0,228035740081113,35925206,186617,5,10.67.36.198,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,apple_push,1,2,2,2,252,420,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032700086513,35342106,68825,1,10.8.3.134,213.55.204.143,228,3,6001,-1,31655,3219,unspec,apple_push,0,1,4,4,9472,4730,0,0,9472,4730,12,1,41,1,44,1
1433528099,C_gngyserver_NET0,228033740006469,35610006,866862,1,10.67.64.195,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,https,1,1,3,3,7783,2430,0,0,0,0,0,0,24,1,8,1
1433528099,C_gngyserver_NET0,228036800012489,1326700,218891,20,10.8.3.5,213.55.204.144,228,3,8006,-1,39826,3219,unspec,binary-download,0,4,67,64,11239575,207079,0,3448,0,0,0,0,649,4,113,3
1433528099,C_gngyserver_NET0,228035730079394,1363300,339177,12,10.9.5.196,213.55.204.143,228,3,7004,-1,47815,3219,unspec,xmpp_client,0,1,2,0,80,0,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031720066874,1283700,741409,22,10.200.99.41,213.55.204.145,228,3,22300,-1,51510,3219,unspec,apple_push,0,4,13,11,5669,5033,0,0,61807,34819,12504,1,343,1,191,1
1433528099,C_gngyserver_NET0,228035740085144,1340700,702597,12,10.77.0.149,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,Unknown,1,1,0,0,0,0,0,0,721054,93256,9317,1,0,0,0,0
1433528099,C_gngyserver_NET0,228031830017580,1366200,266081,22,213.55.204.70,213.55.204.143,228,3,6006,-1,12393,3219,unspec,dns,0,2,2,2,829,363,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228032700097117,35368706,510422,1,10.67.8.136,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,https,1,5,11,16,10727,9527,0,0,0,0,0,0,169,3,257,3
1433528099,C_gngyserver_NET0,228031830033753,1317200,213344,18,10.8.3.132,213.55.204.146,228,3,6003,-1,32632,3219,unspec,tcp,0,2,2,4,510,676,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228031700046673,1318700,882055,18,213.55.204.70,213.55.204.142,228,3,6006,-1,12071,3219,unspec,apple_push,0,1,2,2,214,268,0,0,0,0,0,0,0,0,0,0
1433528099,C_gngyserver_NET0,228035750096263,1334900,280591,12,10.67.3.250,10.8.31.165,-1,-1,-1,-1,-1,3219,unspec,https,1,1,7,7,5724,3063,0,0,0,0,0,0,285,1,128,1
1433528099,C_gngyserver_NET0,228036760053884,35207506,934734,5,10.77.7.173,10.8.31.141,-1,-1,-1,-1,-1,3219,unspec,dns,1,1,3,3,5766,3066,0,0,0,0,0,0,12,1,0,0
1433528099,C_gngyserver_NET0,228031840015074,35299106,170420,1,10.67.17.4,10.8.31.140,-1,-1,-1,-1,-1,3219,unspec,facebook_dns,1,1,4,4,7974,4986,0,0,0,0,0,0,10,1,28,1
